rho, eigenvector (ground state)
0.035, 0.00676262
0.07, 0.0137283
0.105, 0.0208661
0.14, 0.028144
0.175, 0.0355288
0.21, 0.0429871
0.245, 0.0504848
0.28, 0.0579878
0.315, 0.0654617
0.35, 0.0728729
0.385, 0.0801878
0.42, 0.0873738
0.455, 0.0943993
0.49, 0.101234
0.525, 0.107848
0.56, 0.114214
0.595, 0.120306
0.63, 0.1261
0.665, 0.131574
0.7, 0.136707
0.735, 0.141482
0.77, 0.145884
0.805, 0.149898
0.84, 0.153514
0.875, 0.156724
0.91, 0.159522
0.945, 0.161903
0.98, 0.163866
1.015, 0.165413
1.05, 0.166545
1.085, 0.167269
1.12, 0.167592
1.155, 0.167523
1.19, 0.167072
1.225, 0.166253
1.26, 0.165079
1.295, 0.163567
1.33, 0.161732
1.365, 0.159592
1.4, 0.157167
1.435, 0.154476
1.47, 0.151538
1.505, 0.148375
1.54, 0.145006
1.575, 0.141453
1.61, 0.137738
1.645, 0.133879
1.68, 0.129899
1.715, 0.125817
1.75, 0.121653
1.785, 0.117426
1.82, 0.113153
1.855, 0.108854
1.89, 0.104545
1.925, 0.100241
1.96, 0.0959576
1.995, 0.0917088
2.03, 0.0875077
2.065, 0.0833662
2.1, 0.0792953
2.135, 0.0753048
2.17, 0.0714038
2.205, 0.0676001
2.24, 0.0639005
2.275, 0.060311
2.31, 0.0568366
2.345, 0.0534814
2.38, 0.0502486
2.415, 0.0471405
2.45, 0.0441589
2.485, 0.0413045
2.52, 0.0385777
2.555, 0.0359779
2.59, 0.0335043
2.625, 0.0311553
2.66, 0.028929
2.695, 0.026823
2.73, 0.0248345
2.765, 0.0229604
2.8, 0.0211975
2.835, 0.019542
2.87, 0.0179902
2.905, 0.0165382
2.94, 0.015182
2.975, 0.0139174
3.01, 0.0127402
3.045, 0.0116463
3.08, 0.0106314
3.115, 0.00969151
3.15, 0.00882244
3.185, 0.00802019
3.22, 0.00728082
3.255, 0.00660051
3.29, 0.00597555
3.325, 0.00540234
3.36, 0.00487743
3.395, 0.00439752
3.43, 0.00395942
3.465, 0.00356012
3.5, 0.00319675
3.535, 0.00286657
3.57, 0.00256703
3.605, 0.00229568
3.64, 0.00205025
3.675, 0.00182859
3.71, 0.00162871
3.745, 0.00144873
3.78, 0.00128692
3.815, 0.00114165
3.85, 0.00101143
3.885, 0.00089487
3.92, 0.000790688
3.955, 0.000697707
3.99, 0.000614844
4.025, 0.000541104
4.06, 0.000475577
4.095, 0.000417434
4.13, 0.000365915
4.165, 0.000320332
4.2, 0.000280058
4.235, 0.000244526
4.27, 0.000213221
4.305, 0.000185681
4.34, 0.000161485
4.375, 0.000140259
4.41, 0.000121663
4.445, 0.000105395
4.48, 9.1183e-05
4.515, 7.87846e-05
4.55, 6.79833e-05
4.585, 5.85866e-05
4.62, 5.04231e-05
4.655, 4.33407e-05
4.69, 3.72048e-05
4.725, 3.18961e-05
4.76, 2.73095e-05
4.795, 2.33522e-05
4.83, 1.99425e-05
4.865, 1.70087e-05
4.9, 1.44877e-05
4.935, 1.23245e-05
4.97, 1.04707e-05
5.005, 8.88436e-06
5.04, 7.52863e-06
5.075, 6.37157e-06
5.11, 5.38541e-06
5.145, 4.54604e-06
5.18, 3.83257e-06
5.215, 3.22693e-06
5.25, 2.71351e-06
5.285, 2.27886e-06
5.32, 1.91138e-06
5.355, 1.60111e-06
5.39, 1.33949e-06
5.425, 1.11919e-06
5.46, 9.3392e-07
5.495, 7.78328e-07
5.53, 6.47832e-07
5.565, 5.38529e-07
5.6, 4.47098e-07
5.635, 3.70718e-07
5.67, 3.06995e-07
5.705, 2.53904e-07
5.74, 2.09728e-07
5.775, 1.73019e-07
5.81, 1.42555e-07
5.845, 1.17304e-07
5.88, 9.64027e-08
5.915, 7.91254e-08
5.95, 6.48617e-08
5.985, 5.30988e-08
6.02, 4.34126e-08
6.055, 3.54512e-08
6.09, 2.89138e-08
6.125, 2.35523e-08
6.16, 1.9163e-08
6.195, 1.55714e-08
6.23, 1.26355e-08
6.265, 1.02413e-08
6.3, 8.29228e-09
6.335, 6.70539e-09
6.37, 5.41412e-09
6.405, 4.36523e-09
6.44, 3.51368e-09
6.475, 2.82416e-09
6.51, 2.2673e-09
6.545, 1.81598e-09
6.58, 1.4506e-09
6.615, 1.15587e-09
6.65, 9.1982e-10
6.685, 7.29958e-10
6.72, 5.79509e-10
6.755, 4.59811e-10
6.79, 3.59048e-10
6.825, 2.74767e-10
6.86, 2.05749e-10
6.895, 1.46562e-10
6.93, 9.45657e-11
6.965, 4.6201e-11
