rho, eigenvector (ground state)
0.035, 0.0280226
0.07, 0.0564283
0.105, 0.0846246
0.14, 0.112029
0.175, 0.138088
0.21, 0.162293
0.245, 0.184196
0.28, 0.203425
0.315, 0.219686
0.35, 0.232776
0.385, 0.242582
0.42, 0.249078
0.455, 0.252326
0.49, 0.252463
0.525, 0.249693
0.56, 0.24428
0.595, 0.236529
0.63, 0.226777
0.665, 0.215378
0.7, 0.202691
0.735, 0.189071
0.77, 0.174854
0.805, 0.160356
0.84, 0.145859
0.875, 0.13161
0.91, 0.117819
0.945, 0.104659
0.98, 0.0922606
1.015, 0.0807203
1.05, 0.0700998
1.085, 0.0604304
1.12, 0.051717
1.155, 0.0439421
1.19, 0.0370704
1.225, 0.0310526
1.26, 0.0258295
1.295, 0.0213356
1.33, 0.0175019
1.365, 0.0142586
1.4, 0.011537
1.435, 0.00927163
1.47, 0.0074008
1.505, 0.0058678
1.54, 0.00462126
1.575, 0.00361531
1.61, 0.0028096
1.645, 0.00216904
1.68, 0.00166351
1.715, 0.00126744
1.75, 0.000959369
1.785, 0.000721454
1.82, 0.000539019
1.855, 0.000400112
1.89, 0.000295085
1.925, 0.000216228
1.96, 0.000157427
1.995, 0.000113884
2.03, 8.18578e-05
2.065, 5.84634e-05
2.1, 4.14897e-05
2.135, 2.92572e-05
2.17, 2.05008e-05
2.205, 1.42744e-05
2.24, 9.87637e-06
2.275, 6.79045e-06
2.31, 4.63943e-06
2.345, 3.14994e-06
2.38, 2.12527e-06
2.415, 1.42498e-06
2.45, 9.49479e-07
2.485, 6.28715e-07
2.52, 4.13727e-07
2.555, 2.70564e-07
2.59, 1.75845e-07
2.625, 1.13577e-07
2.66, 7.29052e-08
2.695, 4.65098e-08
2.73, 2.94869e-08
2.765, 1.85802e-08
2.8, 1.16372e-08
2.835, 7.24327e-09
2.87, 4.48004e-09
2.905, 2.7556e-09
2.94, 1.68423e-09
2.975, 1.02265e-09
3.01, 6.17335e-10
3.045, 3.69699e-10
3.08, 2.19504e-10
3.115, 1.29206e-10
3.15, 7.60916e-11
3.185, 4.32043e-11
3.22, 2.42272e-11
3.255, 1.60929e-11
3.29, 8.52993e-12
3.325, 3.66018e-12
3.36, 2.20201e-12
3.395, 6.14303e-13
3.43, 9.19686e-14
3.465, 2.29146e-12
3.5, 1.04271e-12
3.535, -1.80732e-12
3.57, -1.68893e-12
3.605, -1.95477e-13
3.64, 1.18058e-13
3.675, 2.75152e-12
3.71, 1.91087e-12
3.745, 7.85711e-14
3.78, 1.32461e-12
3.815, 1.70086e-12
3.85, 2.58365e-12
3.885, 3.8227e-12
3.92, 3.12063e-12
3.955, 2.06195e-12
3.99, 1.851e-12
4.025, 1.05409e-12
4.06, 1.48681e-12
4.095, 2.2311e-12
4.13, 2.06499e-12
4.165, 1.8022e-12
4.2, 1.38459e-12
4.235, 2.19416e-13
4.27, -1.2826e-12
4.305, 1.51767e-13
4.34, 1.9408e-12
4.375, 1.68514e-12
4.41, 1.12122e-12
4.445, -1.9404e-13
4.48, -1.20023e-12
4.515, -1.8657e-12
4.55, -8.34861e-13
4.585, 2.01816e-12
4.62, 1.8212e-12
4.655, -1.35451e-13
4.69, -2.17338e-13
4.725, -6.71409e-13
4.76, -2.14765e-12
4.795, -8.11983e-13
4.83, 1.36059e-12
4.865, 2.95524e-13
4.9, -2.62315e-13
4.935, 1.35649e-12
4.97, 1.02723e-12
5.005, -1.11666e-12
5.04, -1.40537e-12
5.075, 1.0936e-13
5.11, -7.75208e-13
5.145, -1.61605e-12
5.18, 1.41625e-12
5.215, 2.65238e-12
5.25, 1.90382e-13
5.285, -7.21592e-13
5.32, -7.63069e-14
5.355, -5.82313e-13
5.39, -1.25933e-12
5.425, -7.6918e-14
5.46, 1.58526e-12
5.495, 6.42804e-13
5.53, -1.17989e-12
5.565, -8.99111e-13
5.6, -9.33782e-14
5.635, -4.30505e-13
5.67, -4.74732e-13
5.705, 1.06696e-12
5.74, 2.06821e-12
5.775, 8.37848e-13
5.81, 5.19256e-14
5.845, 8.2315e-13
5.88, 7.96901e-13
5.915, -5.44914e-13
5.95, -1.76586e-12
5.985, -2.08582e-12
6.02, -2.45531e-12
6.055, -3.7284e-12
6.09, -3.8982e-12
6.125, -2.06434e-12
6.16, -9.80645e-13
6.195, -1.04554e-12
6.23, -2.75076e-13
6.265, 5.23735e-13
6.3, 1.92815e-13
6.335, -4.47964e-13
6.37, -7.66453e-13
6.405, -5.1494e-13
6.44, 7.91516e-14
6.475, 3.41032e-13
6.51, 3.63453e-13
6.545, 2.59995e-13
6.58, -2.24656e-14
6.615, -1.40401e-13
6.65, -4.59785e-13
6.685, -1.16523e-12
6.72, -1.26932e-12
6.755, -7.61122e-13
6.79, -4.05578e-13
6.825, 5.30588e-14
6.86, 5.97582e-13
6.895, 6.19611e-13
6.93, 3.96729e-13
6.965, 2.73913e-13
