rho, eigenvector (ground state)
0.035, 0.00342233
0.07, 0.00695509
0.105, 0.0105906
0.14, 0.0143207
0.175, 0.0181371
0.21, 0.0220311
0.245, 0.0259938
0.28, 0.0300158
0.315, 0.034088
0.35, 0.0382005
0.385, 0.0423439
0.42, 0.0465083
0.455, 0.0506837
0.49, 0.0548604
0.525, 0.0590284
0.56, 0.0631779
0.595, 0.067299
0.63, 0.0713821
0.665, 0.0754178
0.7, 0.0793965
0.735, 0.0833092
0.77, 0.0871469
0.805, 0.0909011
0.84, 0.0945633
0.875, 0.0981255
0.91, 0.10158
0.945, 0.10492
0.98, 0.108137
1.015, 0.111226
1.05, 0.114181
1.085, 0.116996
1.12, 0.119665
1.155, 0.122184
1.19, 0.124549
1.225, 0.126756
1.26, 0.128801
1.295, 0.130683
1.33, 0.132398
1.365, 0.133946
1.4, 0.135324
1.435, 0.136532
1.47, 0.137569
1.505, 0.138437
1.54, 0.139135
1.575, 0.139665
1.61, 0.140028
1.645, 0.140226
1.68, 0.140262
1.715, 0.140138
1.75, 0.139857
1.785, 0.139424
1.82, 0.138841
1.855, 0.138113
1.89, 0.137245
1.925, 0.136241
1.96, 0.135107
1.995, 0.133846
2.03, 0.132465
2.065, 0.13097
2.1, 0.129365
2.135, 0.127657
2.17, 0.125852
2.205, 0.123956
2.24, 0.121974
2.275, 0.119913
2.31, 0.11778
2.345, 0.115579
2.38, 0.113318
2.415, 0.111002
2.45, 0.108638
2.485, 0.106231
2.52, 0.103787
2.555, 0.101311
2.59, 0.0988103
2.625, 0.0962891
2.66, 0.093753
2.695, 0.0912071
2.73, 0.0886564
2.765, 0.0861056
2.8, 0.0835594
2.835, 0.0810221
2.87, 0.0784979
2.905, 0.0759907
2.94, 0.0735044
2.975, 0.0710425
3.01, 0.0686084
3.045, 0.0662051
3.08, 0.0638356
3.115, 0.0615025
3.15, 0.0592084
3.185, 0.0569555
3.22, 0.0547458
3.255, 0.0525813
3.29, 0.0504635
3.325, 0.0483939
3.36, 0.0463738
3.395, 0.0444043
3.43, 0.0424862
3.465, 0.0406203
3.5, 0.0388072
3.535, 0.0370472
3.57, 0.0353407
3.605, 0.0336876
3.64, 0.0320881
3.675, 0.0305419
3.71, 0.0290487
3.745, 0.0276083
3.78, 0.02622
3.815, 0.0248834
3.85, 0.0235977
3.885, 0.0223621
3.92, 0.0211759
3.955, 0.0200381
3.99, 0.0189477
4.025, 0.0179038
4.06, 0.0169053
4.095, 0.015951
4.13, 0.0150398
4.165, 0.0141706
4.2, 0.0133421
4.235, 0.0125531
4.27, 0.0118024
4.305, 0.0110888
4.34, 0.0104109
4.375, 0.00976766
4.41, 0.00915768
4.445, 0.00857978
4.48, 0.00803271
4.515, 0.00751527
4.55, 0.00702626
4.585, 0.00656449
4.62, 0.00612881
4.655, 0.00571807
4.69, 0.00533116
4.725, 0.00496699
4.76, 0.00462451
4.795, 0.00430266
4.83, 0.00400046
4.865, 0.00371693
4.9, 0.00345112
4.935, 0.00320212
4.97, 0.00296906
5.005, 0.00275107
5.04, 0.00254735
5.075, 0.0023571
5.11, 0.00217958
5.145, 0.00201405
5.18, 0.00185983
5.215, 0.00171625
5.25, 0.00158268
5.285, 0.00145851
5.32, 0.00134318
5.355, 0.00123612
5.39, 0.00113683
5.425, 0.00104481
5.46, 0.000959582
5.495, 0.000880712
5.53, 0.000807775
5.565, 0.000740377
5.6, 0.00067814
5.635, 0.000620713
5.67, 0.00056776
5.705, 0.00051897
5.74, 0.000474046
5.775, 0.000432711
5.81, 0.000394705
5.845, 0.000359785
5.88, 0.000327722
5.915, 0.000298302
5.95, 0.000271325
5.985, 0.000246604
6.02, 0.000223966
6.055, 0.000203247
6.09, 0.000184295
6.125, 0.000166971
6.16, 0.000151142
6.195, 0.000136687
6.23, 0.000123492
6.265, 0.000111452
6.3, 0.000100469
6.335, 9.04524e-05
6.37, 8.13177e-05
6.405, 7.2987e-05
6.44, 6.53878e-05
6.475, 5.8453e-05
6.51, 5.21201e-05
6.545, 4.63311e-05
6.58, 4.1032e-05
6.615, 3.61725e-05
6.65, 3.17056e-05
6.685, 2.75873e-05
6.72, 2.37763e-05
6.755, 2.02335e-05
6.79, 1.69219e-05
6.825, 1.3806e-05
6.86, 1.08518e-05
6.895, 8.02629e-06
6.93, 5.29715e-06
6.965, 2.63238e-06
